	sentence	v	a	d
12028	succulent	6.5	5.6	5.9
12029	suck	3.7	5.6	5.5
12030	sucker	4.0	4.7	4.2
12031	suction	4.2	3.8	4.9
12032	suds	5.2	3.7	5.5
12033	sue	2.2	6.2	5.6
12034	suede	5.4	2.8	5.7
12035	suffer	2.0	4.5	3.3
12036	suffice	5.5	3.2	6.2
12037	sufficient	6.1	3.2	6.0
12038	suffocate	2.6	6.1	3.5
12039	suffocation	2.4	5.0	3.2
12040	sugar	6.6	5.3	6.3
12041	suggest	5.6	3.8	5.8
12042	suggestion	5.8	4.2	6.4
12043	suggestive	5.0	4.4	5.7
12044	suicidal	2.2	4.9	3.2
12045	suicide	1.6	6.2	4.2
12046	suit	5.9	3.0	5.2
12047	suitable	5.7	3.0	6.2
12048	suitcase	5.2	3.2	5.5
12049	suite	7.0	3.6	6.2
12050	suitor	5.6	3.7	5.6
12051	sulfate	4.6	3.7	4.9
12052	sulfur	4.5	3.9	5.0
12053	sulk	3.2	3.3	3.7
12054	sullen	2.8	4.5	4.6
12055	sully	3.9	4.0	4.4
12056	sultan	4.5	3.5	4.9
12057	sum	5.7	3.1	5.9
12058	summarize	4.9	2.8	6.4
12059	summary	5.0	3.3	6.1
12060	summation	4.8	4.2	5.2
12061	summer	7.5	5.5	6.6
12062	summerhouse	7.3	4.8	5.7
12063	summertime	6.7	5.3	6.5
12064	summit	5.5	4.4	4.4
12065	summon	5.6	4.7	6.0
12066	summons	3.6	5.1	3.8
12067	sumo	4.4	3.7	5.5
12068	sun	6.9	4.6	5.0
12069	sunburn	2.8	4.4	4.1
12070	sundae	7.8	4.8	5.8
12071	sundial	6.0	3.2	5.2
12072	sundown	6.2	3.7	4.4
12073	sunflower	6.4	3.0	6.2
12074	sunglasses	6.7	3.7	5.8
12075	sunken	4.4	4.0	4.0
12076	sunlight	7.5	4.4	6.1
12077	sunny	8.0	5.4	5.1
12078	sunrise	7.4	4.7	6.0
12079	sunroof	6.5	3.2	6.2
12080	sunscreen	5.8	4.0	5.9
12081	sunset	7.5	4.7	5.3
12082	sunshine	8.1	5.3	5.4
12083	suntan	6.0	4.2	5.4
12084	sunup	5.7	3.3	5.2
12085	sup	5.5	4.3	5.3
12086	super	7.0	4.2	6.9
12087	superb	7.0	4.3	6.6
12088	superficial	3.8	4.2	4.6
12089	superfluous	4.5	4.4	4.6
12090	superhero	6.9	6.0	5.8
12091	superhuman	6.7	4.7	6.3
12092	superintendent	4.9	3.2	5.2
12093	superior	6.4	4.7	6.0
12094	superiority	5.0	5.5	6.8
12095	superman	6.5	5.2	5.1
12096	supermarket	6.4	4.6	5.3
12097	supermodel	5.5	6.1	5.2
12098	supernatural	6.0	5.9	4.0
12099	supernova	6.6	5.5	3.5
12100	superposition	4.4	3.5	5.3
12101	superpower	7.1	5.8	5.8
12102	superstar	5.9	4.8	5.4
12103	superstition	4.8	6.1	5.4
12104	superstitious	4.8	6.0	4.9
12105	superstore	6.2	4.4	4.8
12106	supervise	5.0	4.0	6.1
12107	supervision	4.3	5.0	4.6
12108	supervisor	4.3	4.0	5.6
12109	supper	6.7	3.6	5.6
12110	suppertime	6.4	4.6	6.6
12111	supple	5.8	4.1	5.7
12112	supplement	5.4	3.2	5.2
12113	supplemental	5.6	3.6	6.0
12114	supplier	4.8	3.4	5.0
12115	supply	5.1	3.3	5.2
12116	support	6.9	3.0	6.1
12117	supporter	6.0	4.4	6.3
12118	supportive	7.0	3.8	6.6
12119	suppose	5.3	3.3	5.1
12120	supposed	5.4	3.5	5.2
12121	suppress	2.7	3.6	4.6
12122	suppression	3.7	3.2	4.3
12123	supremacy	3.5	4.3	5.6
12124	supreme	6.1	4.3	6.1
12125	sure	6.6	3.5	6.8
12126	surf	6.0	5.6	5.2
12127	surface	5.6	3.0	5.2
12128	surfboard	5.5	3.8	4.8
12129	surfer	5.5	5.4	5.7
12130	surge	5.0	5.2	5.9
12131	surgeon	5.0	5.8	5.0
12132	surgery	3.2	5.6	3.2
12133	surgical	4.0	5.0	3.8
12134	surly	3.9	3.8	5.0
12135	surname	5.1	3.7	5.8
12136	surplus	5.7	3.6	6.6
12137	surprise	7.4	6.6	5.2
12138	surprised	6.6	6.0	4.7
12139	surprising	6.8	5.6	3.8
12140	surreal	6.6	5.1	5.1
12141	surrender	3.7	4.6	3.9
12142	surrogate	5.3	4.3	4.5
12143	surround	5.4	3.3	4.4
12144	surroundings	6.4	3.4	5.7
12145	surveillance	3.4	4.8	5.5
12146	survey	5.6	3.7	6.9
12147	survival	7.0	5.4	5.9
12148	survive	6.9	4.5	6.2
12149	survivor	6.7	4.8	6.2
12150	susceptible	3.7	5.2	4.0
12151	sushi	6.2	5.8	5.8
12152	suspect	2.4	4.6	3.2
12153	suspend	4.3	4.9	4.7
12154	suspense	5.3	5.8	5.0
12155	suspension	4.4	4.6	5.5
12156	suspicion	3.3	6.0	5.0
12157	suspicious	3.5	5.0	4.0
12158	sustain	5.7	3.7	6.4
12159	sustenance	6.0	3.3	6.1
12160	suture	4.4	4.6	4.6
12161	suv	4.8	3.5	5.1
12162	swab	4.7	2.6	5.3
12163	swag	5.4	4.3	5.9
12164	swallow	5.6	3.8	5.7
12165	swami	4.1	4.0	4.2
12166	swamp	4.4	3.3	4.1
12167	swank	4.8	4.1	5.3
12168	swap	5.2	3.7	5.1
12169	swarm	3.8	6.3	3.9
12170	swastika	2.3	5.3	3.4
12171	swat	4.4	6.2	5.2
12172	sway	5.2	3.7	6.2
12173	swear	3.4	5.0	4.1
12174	sweat	4.4	5.1	4.7
12175	sweater	6.2	2.8	6.0
12176	sweatshirt	6.2	2.6	5.0
12177	sweatshop	2.5	6.0	3.4
12178	sweaty	4.0	4.8	4.5
12179	sweep	5.3	3.9	5.8
12180	sweeper	5.4	3.2	6.2
12181	sweet	7.8	4.1	6.1
12182	sweeten	6.3	4.7	5.7
12183	sweetheart	7.8	5.4	6.8
12184	sweetie	7.6	4.4	5.9
12185	sweetness	7.4	4.4	5.9
12186	swell	5.0	4.6	5.6
12187	swerve	4.3	5.4	4.7
12188	swift	5.8	4.9	6.2
12189	swig	4.6	4.5	6.0
12190	swill	4.6	3.8	5.2
12191	swim	6.7	6.0	6.5
12192	swimmer	6.3	4.3	6.5
12193	swimming	7.2	5.1	5.8
12194	swimsuit	6.0	5.8	5.1
12195	swindle	3.0	4.3	4.1
12196	swindler	2.3	4.8	3.9
12197	swine	3.1	3.7	4.8
12198	swing	7.0	4.1	6.2
12199	swinger	4.4	5.8	5.0
12200	swipe	4.5	3.7	5.0
12201	swirl	6.4	4.6	5.1
12202	swish	5.8	4.0	5.8
12203	switch	5.3	3.9	6.0
12204	switchblade	3.4	5.7	4.4
12205	switchboard	4.9	3.6	5.3
12206	swivel	5.3	4.6	5.5
12207	swoon	5.8	3.8	5.7
12208	swoop	5.2	5.6	5.0
12209	sword	5.3	6.0	6.0
12210	swordfish	6.2	5.2	5.2
12211	swordplay	4.9	6.1	5.0
12212	swordsman	5.2	4.7	4.7
12213	sycamore	6.4	3.7	4.8
12214	syllable	5.0	2.5	5.7
12215	syllabus	4.9	3.0	4.7
12216	symbiotic	5.7	4.0	5.2
12217	symbol	5.7	2.8	5.0
12218	symbolic	6.5	3.7	5.6
12219	symbolism	6.6	3.5	5.3
12220	symbolize	5.8	4.4	6.3
12221	symmetrical	5.8	3.2	5.0
12222	symmetry	5.3	3.2	6.4
12223	sympathetic	6.7	3.3	6.3
12224	sympathize	6.0	3.7	7.0
12225	sympathy	6.6	3.1	5.9
12226	symphonic	6.4	6.3	5.7
12227	symphony	7.2	4.2	5.6
12228	symposium	4.9	4.0	6.0
12229	symptom	3.3	4.2	5.0
12230	symptomatic	4.0	4.1	4.9
12231	synagogue	4.8	2.6	4.6
12232	synapse	5.4	4.0	5.1
12233	synaptic	4.6	4.2	4.6
12234	sync	6.2	4.0	6.1
12235	synchronize	6.3	4.0	6.0
12236	syndicate	4.4	3.1	4.7
12237	syndrome	4.3	4.7	3.8
12238	synergy	5.4	4.3	5.4
12239	synonymous	5.2	3.4	5.5
12240	synthesizer	5.2	4.3	5.6
12241	synthetic	4.8	3.6	5.0
12242	syphilis	2.2	4.6	3.3
12243	syringe	3.0	4.8	5.4
12244	syrup	6.4	3.1	5.2
12245	system	5.5	3.4	5.6
12246	systematic	4.6	3.5	4.6
12247	t-shirt	6.4	2.2	5.2
12248	tab	5.1	4.4	5.7
12249	tabasco	4.5	5.0	5.6
12250	tabernacle	5.6	3.5	5.7
12251	table	5.5	3.0	5.8
12252	tablecloth	5.3	2.8	6.3
12253	tablet	6.2	3.6	6.1
12254	tabloid	4.8	3.3	3.9
12255	taboo	4.5	5.1	3.9
12256	tack	4.4	2.8	5.0
12257	tackle	5.4	4.4	5.2
12258	tacky	3.7	4.0	4.6
12259	taco	6.5	4.2	6.1
12260	tact	5.7	4.0	5.9
12261	tactful	6.2	3.6	6.3
12262	tactic	5.7	5.0	6.2
12263	tactical	5.0	4.3	5.5
12264	tad	5.4	3.7	5.6
12265	tadpole	6.0	4.2	5.3
12266	taffy	6.0	3.4	5.0
12267	tag	4.8	3.3	5.9
12268	tail	5.3	3.3	5.3
12269	tailgate	4.8	4.6	4.8
12270	taillight	5.1	3.6	5.5
12271	tailor	5.3	3.6	6.2
12272	tailpipe	4.7	3.1	5.9
12273	taint	3.8	4.4	4.4
12274	take	4.8	4.5	4.8
12275	takeoff	5.5	3.8	5.1
12276	takeout	6.6	4.4	6.4
12277	takeover	3.7	4.7	5.6
12278	taker	3.2	3.8	3.7
12279	talcum	5.4	4.0	4.7
12280	tale	6.0	3.1	6.2
12281	talent	6.3	5.6	6.1
12282	talented	8.0	4.6	6.1
12283	talisman	5.7	4.6	4.8
12284	talk	6.6	3.4	6.4
12285	talkative	5.6	4.4	5.8
12286	talker	4.6	4.0	6.0
12287	tall	6.7	3.8	6.5
12288	tally	4.7	3.4	6.3
12289	talon	5.1	4.9	4.7
12290	tambourine	6.1	3.3	6.0
12291	tame	6.1	3.6	5.5
12292	tamer	5.5	3.8	5.9
12293	tamper	3.3	5.6	4.6
12294	tampon	3.1	4.2	5.5
12295	tan	6.0	3.8	5.5
12296	tang	4.6	4.0	5.3
12297	tangerine	6.8	3.9	6.0
12298	tangible	5.6	4.2	6.6
12299	tangle	4.0	4.5	4.4
12300	tango	5.5	4.5	6.0
12301	tank	4.7	4.3	4.9
12302	tank top	6.2	5.1	5.3
12303	tanker	4.7	4.0	5.3
12304	tantrum	3.2	5.0	3.4
12305	tap	5.3	4.0	6.1
12306	tape	5.5	3.4	5.1
12307	tape measure	5.0	4.1	5.7
12308	tapestry	5.6	2.7	5.6
12309	tapeworm	2.2	4.9	3.3
12310	tapioca	5.5	3.7	5.7
12311	taps	4.8	3.1	4.6
12312	tar	3.9	3.6	5.1
12313	tarantula	3.4	6.8	4.0
12314	tardiness	3.0	5.0	4.3
12315	tardy	3.5	4.3	4.4
12316	target	5.2	5.4	6.4
12317	tarmac	4.8	3.1	5.4
12318	tarot	3.9	4.0	4.8
12319	tarp	4.8	2.9	4.4
12320	tarry	4.7	3.1	4.6
12321	tart	5.4	4.8	5.7
12322	tartar	4.5	2.7	5.4
12323	task	6.0	3.8	6.2
12324	tassel	5.0	4.8	5.3
12325	taste	6.6	4.6	7.3
12326	tasteful	6.9	4.7	6.5
12327	tasteless	3.2	3.9	5.4
12328	tasty	6.9	5.3	6.2
12329	tattler	2.8	4.4	4.8
12330	tattletale	3.0	6.1	4.7
12331	tattoo	4.4	5.0	6.6
12332	taunt	3.4	4.8	3.2
12333	taupe	4.7	3.7	5.8
12334	taut	4.2	4.3	4.7
12335	tavern	5.6	4.2	5.0
12336	tawdry	3.9	3.4	3.4
12337	tawny	4.9	4.2	4.4
12338	tax	3.0	4.5	3.0
12339	taxi	4.8	3.8	4.5
12340	taxicab	5.0	3.8	5.2
12341	taxpayer	4.0	3.0	5.1
12342	tea	6.6	2.0	6.0
12343	teach	7.1	3.5	5.8
12344	teacher	7.4	2.9	6.0
12345	teacup	6.5	3.6	5.6
12346	teahouse	6.4	2.8	5.6
12347	teal	5.7	3.7	5.7
12348	team	5.9	3.4	6.5
12349	teammate	6.2	3.7	5.7
12350	teamwork	6.3	4.6	5.5
12351	teapot	6.0	3.4	5.7
12352	tear	3.1	4.8	5.7
12353	tearful	3.7	4.9	3.4
12354	tease	4.2	5.2	5.2
12355	teaspoon	5.2	2.5	5.4
12356	teatime	6.4	3.2	5.8
12357	tech	5.8	4.1	5.6
12358	technical	5.0	5.3	6.2
12359	technicality	4.2	4.4	4.3
12360	technician	5.6	3.3	4.8
12361	technique	7.0	3.4	5.7
12362	techno	5.5	5.0	5.2
12363	technological	5.3	4.6	6.2
12364	technology	5.5	4.6	5.2
12365	teddy bear	7.4	3.7	6.4
12366	tedious	3.6	4.4	4.1
12367	tee	5.4	3.7	6.2
12368	teeming	4.8	3.6	4.4
12369	teen	5.1	3.9	4.9
12370	teenage	5.8	5.3	5.0
12371	teenager	4.6	4.2	4.3
12372	teens	5.6	4.0	4.0
12373	teensy	5.1	3.8	5.8
12374	teeny	5.6	3.7	5.0
12375	teeth	5.0	3.8	5.6
12376	teething	3.1	4.0	4.1
12377	telegram	5.3	4.1	5.1
12378	telegraph	5.4	2.8	5.2
12379	telekinesis	5.9	5.7	4.6
12380	telemetry	5.0	3.5	5.5
12381	telepathic	5.9	4.6	5.2
12382	telepathy	5.0	5.7	5.3
12383	telephone	5.7	4.3	6.7
12384	telescope	6.8	3.4	6.1
12385	telethon	3.1	3.0	5.3
12386	teletype	5.2	3.9	5.2
12387	televised	6.0	4.0	5.4
12388	television	7.2	4.1	6.2
12389	tell	5.3	3.9	4.9
12390	teller	5.3	3.0	4.3
12391	temp	4.6	3.6	4.9
12392	temper	3.9	4.9	4.6
12393	temperament	4.7	3.8	5.3
12394	temperamental	3.9	5.7	4.6
12395	temperance	5.0	4.0	6.6
12396	temperature	5.6	4.9	4.6
12397	tempest	4.5	5.3	4.6
12398	template	5.4	3.5	4.9
12399	temple	5.3	3.4	5.8
12400	tempo	5.6	4.0	6.0
12401	temporal	4.6	3.4	5.4
12402	temporary	4.3	3.4	4.3
12403	tempt	5.0	5.3	4.8
12404	temptation	4.5	5.4	5.2
12405	tempting	6.0	6.1	5.2
12406	temptress	4.7	5.4	4.4
12407	ten	5.2	3.1	4.8
12408	tenacious	5.6	4.8	5.4
12409	tenant	4.6	2.6	5.4
12410	tend	4.8	3.2	6.3
12411	tendency	4.8	3.7	4.7
12412	tender	6.5	3.2	5.8
12413	tenderfoot	4.3	3.2	5.0
12414	tenderness	6.9	3.1	5.1
12415	tendon	5.1	3.3	4.7
12416	tenement	4.6	3.8	5.0
12417	tennis	5.4	3.9	5.7
12418	tenor	5.5	4.0	5.7
12419	tense	2.8	5.3	4.7
12420	tension	3.6	5.1	4.5
12421	tent	6.2	3.4	5.9
12422	tentative	5.1	3.4	5.2
12423	tenure	4.6	3.6	5.7
12424	tepee	6.3	4.0	5.0
12425	tequila	6.3	5.8	5.4
12426	teriyaki	6.6	4.2	5.6
12427	term	5.6	3.6	5.5
12428	terminal	4.3	3.7	4.2
12429	terminate	3.0	5.0	3.2
12430	termination	3.0	5.9	3.4
12431	terminator	5.4	6.0	4.3
12432	terminology	5.7	2.8	5.3
12433	termite	3.1	4.2	3.5
12434	terrace	5.3	3.5	4.9
12435	terrain	5.5	3.1	4.8
12436	terrible	2.1	4.4	3.4
12437	terrier	6.2	3.8	5.3
12438	terrific	7.1	5.5	6.3
12439	terrified	2.5	6.1	3.3
12440	terrify	2.8	6.4	2.8
12441	terrifying	2.6	5.9	2.7
12442	territorial	4.2	4.3	5.3
12443	territory	5.3	4.3	6.2
12444	terror	2.8	6.4	3.0
12445	terrorism	1.6	7.4	2.7
12446	terrorist	2.4	6.1	3.0
12447	terrorize	2.5	6.0	3.0
12448	test	4.4	4.3	4.1
12449	testament	5.0	3.9	5.7
12450	testicle	4.2	5.4	4.9
12451	testicular	3.9	5.0	4.1
12452	testify	4.6	6.2	5.9
12453	testimonial	5.9	3.2	4.8
12454	testimony	5.0	4.2	4.6
12455	testosterone	5.2	6.8	4.7
12456	testy	3.6	4.6	5.5
12457	tetanus	3.3	5.5	4.2
12458	tether	4.3	4.2	4.7
12459	text	6.5	3.5	6.3
12460	textbook	5.0	2.9	5.2
12461	textile	4.9	3.4	5.7
12462	texture	5.6	3.3	5.3
12463	thank	7.8	3.3	6.9
12464	thankful	7.8	4.5	6.6
12465	thankless	3.6	4.9	4.7
12466	thanks	7.7	4.0	6.7
12467	thanksgiving	6.8	5.0	6.2
12468	thatch	5.2	2.8	4.9
12469	thaw	5.0	3.8	5.8
12470	theater	6.1	3.7	5.5
12471	theatrical	5.3	5.4	7.0
12472	theatrics	5.4	5.0	6.2
12473	theft	2.6	5.2	3.9
12474	theme	5.4	3.1	5.9
12475	theology	5.0	3.3	5.4
12476	theoretical	4.8	3.9	5.0
12477	theory	5.6	4.4	5.8
12478	therapeutic	6.3	2.2	6.6
12479	therapist	4.4	3.3	4.2
12480	therapy	5.1	3.7	4.7
12481	thermal	5.4	3.5	5.1
12482	thermometer	5.2	3.4	5.3
12483	thermos	5.8	3.2	5.2
12484	thermostat	5.5	3.6	5.7
12485	thesis	4.7	4.1	5.9
12486	thick	4.6	3.1	5.7
12487	thicket	4.3	3.2	4.4
12488	thickness	5.2	3.7	5.0
12489	thief	2.3	6.0	3.1
12490	thigh	5.2	5.3	5.7
12491	thin	5.5	4.5	5.3
12492	thing	5.6	3.4	5.4
12493	thingy	5.4	4.3	5.2
12494	think	6.7	3.8	6.5
12495	thinker	7.3	4.4	7.7
12496	third	5.0	2.6	5.6
12497	thirst	4.1	4.1	6.0
12498	thirsty	4.5	4.1	6.2
12499	thirteen	5.1	4.4	4.5
12500	thirty	4.7	3.6	5.7
12501	thistle	5.0	3.9	3.7
12502	thong	5.5	4.7	5.2
12503	thorn	3.6	4.2	4.1
12504	thorny	3.1	4.9	3.7
12505	thorough	6.2	3.3	7.3
12506	thoroughbred	6.5	4.6	5.6
12507	thoroughfare	5.2	4.3	5.8
12508	thought	6.8	4.2	6.2
12509	thoughtful	7.3	2.6	6.6
12510	thoughtless	4.0	4.4	4.4
12511	thousand	6.4	3.5	6.0
12512	thrash	3.5	4.3	5.0
12513	thread	5.5	3.9	5.5
12514	threat	2.6	6.6	3.6
12515	threaten	2.6	6.0	3.3
12516	three	5.4	3.4	5.4
12517	threesome	5.9	5.7	6.0
12518	threshold	5.5	3.1	4.6
12519	thrift	5.7	3.0	5.9
12520	thrill	7.4	7.2	6.1
12521	thriller	5.8	6.0	4.6
12522	thrilling	7.2	6.2	6.0
12523	thrive	6.8	5.6	7.0
12524	thriving	5.9	5.2	7.4
12525	throat	4.8	4.2	5.8
12526	throbbing	3.7	5.6	4.9
12527	throes	4.5	4.7	4.6
12528	throne	5.4	5.2	6.2
12529	throttle	5.6	5.4	5.7
12530	throw	5.6	4.5	6.1
12531	throwback	5.4	4.6	5.0
12532	thrower	4.6	3.6	5.2
12533	thrust	5.8	5.3	6.1
12534	thruster	4.6	4.7	4.9
12535	thud	4.2	5.0	4.5
12536	thug	2.5	5.5	3.5
12537	thumb	5.6	3.8	5.8
12538	thumbprint	5.6	4.3	5.0
12539	thump	4.4	4.0	5.5
12540	thumper	5.0	4.1	4.8
12541	thunder	5.7	5.8	3.9
12542	thunderbolt	5.6	6.3	4.2
12543	thunderclap	4.5	5.6	4.2
12544	thunderstorm	5.7	6.1	3.5
12545	thyroid	4.3	3.1	3.1
12546	tiara	5.5	5.0	5.2
12547	tibia	4.4	3.5	5.6
12548	tic	4.2	4.4	3.7
12549	tick	3.0	3.8	3.6
12550	ticker	4.4	3.8	5.8
12551	ticket	5.3	4.0	5.0
12552	tickle	6.1	5.9	5.3
12553	ticklish	6.2	4.9	4.4
12554	tidal	5.3	5.0	5.3
12555	tidal wave	4.9	4.8	3.0
12556	tide	6.6	5.5	4.8
12557	tidings	6.2	3.6	4.8
12558	tidy	6.2	2.9	6.8
12559	tie	5.3	3.1	5.2
12560	tier	5.0	3.7	5.6
12561	tiger	6.0	5.6	4.4
12562	tighten	5.0	5.7	6.1
12563	tightrope	4.8	4.2	3.9
12564	tights	6.0	3.4	4.6
12565	tile	5.0	2.9	4.8
12566	tilt	4.8	4.6	5.8
12567	timber	4.9	3.7	5.4
12568	time	5.6	3.4	4.4
12569	timeless	5.9	3.4	5.4
12570	timely	6.1	3.5	5.9
12571	timeout	4.0	3.8	4.7
12572	timer	4.8	4.2	4.3
12573	times	5.9	3.2	6.1
12574	timetable	4.9	3.6	5.6
12575	timid	3.4	3.2	4.7
12576	timing	5.7	3.4	5.4
12577	tin	5.0	2.7	5.5
12578	tinfoil	4.8	3.2	5.0
12579	tingle	6.2	5.2	5.5
12580	tinker	6.0	2.8	6.0
12581	tinkle	5.6	3.8	5.2
12582	tinkling	5.3	5.4	5.9
12583	tinsel	5.7	4.0	5.2
12584	tiny	5.1	4.6	6.2
12585	tip	6.8	4.0	5.8
12586	tipper	5.2	3.7	6.8
12587	tipster	5.3	3.6	5.6
12588	tipsy	5.6	4.7	4.6
12589	tiptoe	5.3	3.8	5.7
12590	tire	4.6	3.1	5.5
12591	tired	4.3	3.7	5.1
12592	tireless	5.0	4.4	6.1
12593	tiresome	3.9	2.5	4.7
12594	tiring	3.7	3.6	3.8
12595	tissue	5.3	3.1	5.3
12596	tit	5.8	6.1	4.9
12597	titan	5.7	4.3	6.0
12598	titanic	4.4	4.4	4.5
12599	titanium	5.3	3.8	5.9
12600	title	5.7	2.2	5.2
12601	toad	6.0	3.6	4.8
12602	toast	6.7	3.6	6.4
12603	toaster	5.8	3.8	6.2
12604	toasty	6.0	4.6	5.6
12605	tobacco	3.4	5.0	4.1
12606	toddler	6.3	4.2	4.9
12607	toe	5.2	3.1	5.1
12608	toenail	4.0	3.1	6.0
12609	toffee	6.2	5.0	6.3
12610	tofu	4.3	3.1	4.9
12611	toga	5.4	3.8	6.1
12612	togetherness	6.3	4.6	6.4
12613	toil	3.6	5.6	4.9
12614	toilet	3.7	4.5	6.4
12615	token	5.6	3.1	5.3
12616	tolerable	4.9	4.4	5.7
12617	tolerance	6.4	3.4	6.0
12618	tolerant	5.9	3.1	6.0
12619	tolerate	6.2	3.1	5.7
12620	toll	3.5	4.0	3.6
12621	tomahawk	4.9	5.2	4.9
12622	tomato	5.8	2.7	5.5
12623	tomatoes	6.2	3.8	5.4
12624	tomb	3.6	4.1	3.3
12625	tombstone	3.1	4.9	3.9
12626	tomcat	5.2	4.7	4.6
12627	tome	5.3	4.6	6.2
12628	ton	5.0	3.6	5.1
12629	tone	5.5	3.7	5.2
12630	toner	5.1	4.1	5.6
12631	tongs	5.0	3.2	5.2
12632	tongue	6.3	4.2	6.3
12633	tonic	6.0	4.2	5.5
12634	tool	5.1	3.9	6.0
12635	toolbox	4.7	4.0	6.4
12636	toot	4.7	4.0	5.5
12637	tooth	5.1	3.5	4.9
12638	toothache	2.3	5.9	3.0
12639	toothbrush	5.6	3.4	6.2
12640	toothless	2.5	4.0	3.5
12641	toothpaste	5.2	2.9	6.1
12642	toothpick	4.9	3.3	6.0
12643	toots	5.2	5.1	5.2
12644	top	6.0	4.3	6.2
12645	topaz	5.6	3.9	6.2
12646	topic	5.5	3.2	6.0
12647	topical	5.4	3.3	5.7
12648	topless	5.4	6.6	5.7
12649	topple	4.9	3.2	4.9
12650	topside	4.9	3.4	5.6
12651	torch	4.5	5.1	5.9
12652	torment	2.5	6.2	4.0
12653	tornado	3.6	7.4	2.9
12654	torpedo	3.7	4.5	3.9
12655	torque	5.3	4.9	5.1
12656	torrent	4.9	5.0	4.6
12657	torrid	3.6	3.4	3.9
12658	torso	5.2	3.8	6.0
12659	tortoise	5.6	3.3	5.5
12660	torture	1.4	5.1	2.8
12661	toss	5.0	4.2	5.8
12662	tot	6.4	3.1	5.5
12663	total	5.3	4.2	6.9
12664	tote	5.4	4.2	5.6
12665	totem	5.3	4.8	5.8
12666	touch	6.6	4.9	6.2
12667	touchdown	7.1	4.9	5.9
12668	touchy	4.3	3.9	3.6
12669	tough	4.4	4.2	6.0
12670	toughen	5.4	4.3	5.9
12671	toupee	4.0	3.1	5.0
12672	tour	6.0	4.8	7.0
12673	tourism	5.4	4.1	5.6
12674	tourist	5.7	3.6	5.0
12675	tournament	6.2	4.1	5.2
12676	tourniquet	4.0	5.0	4.2
12677	tout	5.4	4.6	5.6
12678	tow	5.4	3.8	5.3
12679	towel	6.1	2.9	5.9
12680	tower	5.2	3.9	5.4
12681	towering	4.4	4.1	5.0
12682	town	5.6	3.8	5.5
12683	townhouse	6.0	4.3	4.6
12684	township	5.4	2.9	5.3
12685	townspeople	5.8	2.9	6.1
12686	toxic	2.4	5.3	4.1
12687	toxicity	2.5	4.6	3.3
12688	toxicology	3.6	3.7	5.2
12689	toxin	2.4	5.5	3.4
12690	toy	7.3	4.3	5.6
12691	toymaker	6.8	3.9	6.2
12692	trace	4.7	2.8	6.0
12693	traceable	4.6	3.6	5.2
12694	tracer	5.0	3.9	5.3
12695	trachea	4.7	4.2	4.4
12696	track	5.8	3.8	4.7
12697	tracker	4.9	4.6	5.0
12698	tract	4.0	3.4	5.0
12699	traction	5.3	4.2	6.2
12700	tractor	5.0	3.7	5.8
12701	trade	5.9	4.4	6.3
12702	trademark	5.0	3.7	5.7
12703	trader	5.5	3.5	5.8
12704	tradition	6.1	4.6	6.4
12705	traditional	6.0	3.8	5.4
12706	traffic	2.2	5.2	5.6
12707	traffic light	4.8	4.9	3.7
12708	trafficking	2.6	4.7	4.2
12709	tragedy	2.1	6.8	3.0
12710	tragic	3.5	5.4	4.2
12711	trail	6.2	4.0	5.4
12712	trailer	4.4	2.8	5.2
12713	train	6.4	4.0	5.7
12714	train set	6.1	3.3	6.2
12715	trainee	5.4	4.2	5.4
12716	trainer	5.2	4.0	5.2
12717	training	5.2	4.1	6.3
12718	trait	5.4	3.6	5.8
12719	traitor	2.4	4.3	4.7
12720	traitorous	2.3	5.2	4.5
12721	trajectory	4.9	3.3	4.6
12722	tram	4.7	2.4	4.0
12723	tramp	3.3	4.9	3.7
12724	trample	3.7	5.0	4.8
12725	trampoline	6.2	5.6	6.1
12726	trance	5.2	4.0	3.2
12727	tranquil	7.1	2.6	5.9
12728	tranquility	7.9	3.6	7.6
12729	tranquilizer	4.9	3.1	4.8
12730	transaction	5.3	3.7	5.6
12731	transatlantic	5.0	4.8	5.4
12732	transceiver	5.0	4.2	5.3
12733	transcend	5.8	5.0	6.5
12734	transcendent	5.1	4.3	4.7
12735	transcript	5.2	3.3	6.3
12736	transcription	5.2	4.1	5.0
12737	transfer	5.3	3.2	5.5
12738	transference	4.4	3.4	4.6
12739	transform	6.0	4.9	6.1
12740	transformation	6.1	5.6	5.4
12741	transformer	6.1	5.2	6.0
12742	transfusion	5.0	4.4	4.3
12743	transgression	3.9	5.2	5.0
12744	transient	4.2	4.0	4.2
12745	transistor	4.7	3.9	6.0
12746	transit	4.5	4.0	5.7
12747	transition	5.4	3.6	4.4
12748	transitional	4.8	4.5	4.9
12749	translate	5.7	2.8	5.6
12750	translation	5.6	4.5	6.0
12751	translator	5.0	4.0	4.8
12752	transmission	4.6	3.4	4.7
12753	transmit	4.2	4.4	5.3
12754	transmitter	5.0	3.5	5.2
12755	transparent	5.4	3.4	5.3
12756	transplant	4.6	6.4	4.4
12757	transponder	5.0	3.6	4.7
12758	transport	5.9	3.8	5.8
12759	transportation	6.1	2.4	5.4
12760	transporter	4.8	4.1	5.4
12761	transsexual	3.7	4.2	4.8
12762	transvestite	4.2	5.0	4.5
12763	trap	3.2	4.4	3.8
12764	trapdoor	4.2	5.0	4.5
